Year,Group,Relative_Abundance
1985,Birds,1.0
1986,Birds,0.9892
1987,Birds,1.0222
1988,Birds,0.843
1989,Birds,0.9239
1990,Birds,0.8963
1991,Birds,0.8565
1992,Birds,1.1449
1993,Birds,0.8194
1994,Birds,0.8851
1995,Birds,0.8791
1996,Birds,0.8074
1997,Birds,0.7326
1998,Birds,0.719
1999,Birds,0.657
2000,Birds,0.6344
2001,Birds,0.6445
2002,Birds,0.6627
2003,Birds,0.6764
2004,Birds,0.6916
2005,Birds,0.6508
2006,Birds,0.6603
2007,Birds,0.5488
2008,Birds,0.5391
2009,Birds,0.4953
2010,Birds,0.5101
2011,Birds,0.4597
2012,Birds,0.4273
2013,Birds,0.4661
2014,Birds,0.4619
2015,Birds,0.4291
2016,Birds,0.4526
2017,Birds,0.3932
2018,Birds,0.3902
2019,Birds,0.3921
2020,Birds,0.3809
2021,Birds,0.3741
2022,Birds,0.3411
1985,Amphibians,1.0
1986,Amphibians,0.9709
1987,Amphibians,0.2817
1988,Amphibians,0.4032
1989,Amphibians,0.3031
1990,Amphibians,0.3661
1991,Amphibians,0.2487
1992,Amphibians,0.2818
1993,Amphibians,0.4904
1994,Amphibians,0.2469
1995,Amphibians,0.2617
1996,Amphibians,0.1933
1997,Amphibians,0.2192
1998,Amphibians,0.1782
1999,Amphibians,0.3188
2000,Amphibians,0.4262
2001,Amphibians,0.3379
2002,Amphibians,0.2746
2003,Amphibians,0.2092
2004,Amphibians,0.3333
2005,Amphibians,0.3161
2006,Amphibians,0.4224
2007,Amphibians,0.2413
2008,Amphibians,0.474
2009,Amphibians,0.3372
2010,Amphibians,0.3678
2011,Amphibians,0.411
2012,Amphibians,0.2415
2013,Amphibians,0.1745
2014,Amphibians,0.1687
2015,Amphibians,0.2382
2016,Amphibians,0.2346
2017,Amphibians,0.278
2018,Amphibians,0.2664
2019,Amphibians,0.2588
2020,Amphibians,0.4393
2021,Amphibians,0.4466
2022,Amphibians,0.3273
1985,Mammals,1.0
1986,Mammals,1.0167
1987,Mammals,1.2892
1988,Mammals,1.3671
1989,Mammals,1.1007
1990,Mammals,1.1601
1991,Mammals,1.3188
1992,Mammals,1.1307
1993,Mammals,1.3179
1994,Mammals,1.3097
1995,Mammals,1.479
1996,Mammals,1.5467
1997,Mammals,1.5794
1998,Mammals,1.6152
1999,Mammals,1.3628
2000,Mammals,1.3702
2001,Mammals,1.3991
2002,Mammals,1.5115
2003,Mammals,1.2367
2004,Mammals,1.0315
2005,Mammals,0.8899
2006,Mammals,0.7632
2007,Mammals,0.7487
2008,Mammals,0.7444
2009,Mammals,0.7524
2010,Mammals,0.7089
2011,Mammals,0.8709
2012,Mammals,1.0665
2013,Mammals,1.0136
2014,Mammals,0.9753
2015,Mammals,0.9994
2016,Mammals,0.9372
2017,Mammals,0.9492
2018,Mammals,0.9633
2019,Mammals,0.9166
2020,Mammals,0.8648
2021,Mammals,0.8281
2022,Mammals,0.7859
1985,Plants,1.0
1992,Plants,0.1833
1993,Plants,0.0733
1996,Plants,0.0365
1997,Plants,0.0473
1998,Plants,0.0757
1999,Plants,0.0586
2000,Plants,0.074
2001,Plants,0.0609
2002,Plants,0.061
2003,Plants,0.0837
2004,Plants,0.077
2005,Plants,0.1198
2006,Plants,0.071
2007,Plants,0.079
2008,Plants,0.0689
2009,Plants,0.0766
2010,Plants,0.0785
2011,Plants,0.0878
2012,Plants,0.0808
2013,Plants,0.0924
2014,Plants,0.0952
2015,Plants,0.0971
2016,Plants,0.0996
2017,Plants,0.0782
2018,Plants,0.0749
2019,Plants,0.0814
2020,Plants,0.0954
2021,Plants,0.1453
2022,Plants,0.1675
1985,Reptiles,1.0
1986,Reptiles,1.7845
1987,Reptiles,1.6139
1988,Reptiles,1.162
1989,Reptiles,1.1567
1990,Reptiles,1.352
1991,Reptiles,1.4531
1992,Reptiles,1.3633
1993,Reptiles,1.302
1994,Reptiles,1.1731
1995,Reptiles,1.302
1996,Reptiles,1.4931
1997,Reptiles,0.9037
1998,Reptiles,1.1115
1999,Reptiles,1.2162
2000,Reptiles,0.7146
2001,Reptiles,1.4139
2002,Reptiles,1.4636
2003,Reptiles,1.3897
2004,Reptiles,1.5965
2005,Reptiles,1.2712
2006,Reptiles,1.2143
2007,Reptiles,1.0437
2008,Reptiles,1.1239
2009,Reptiles,1.0416
2010,Reptiles,1.081
2011,Reptiles,0.9581
2012,Reptiles,1.0057
2013,Reptiles,1.1713
2014,Reptiles,1.4481
2015,Reptiles,1.4079
2016,Reptiles,1.7603
2017,Reptiles,1.2989
2018,Reptiles,1.3392
2019,Reptiles,1.601
2020,Reptiles,1.1931
2021,Reptiles,1.3591
2022,Reptiles,1.2478
