Year,Management,Index_Value
1985,Fenced Havens & Islands (Predator-Free),1.0
1985,Standard Open Landscapes (Unfenced/Standard Parks),1.0
1986,Fenced Havens & Islands (Predator-Free),1.0
1986,Standard Open Landscapes (Unfenced/Standard Parks),1.0167
1987,Fenced Havens & Islands (Predator-Free),1.0
1987,Standard Open Landscapes (Unfenced/Standard Parks),1.2892
1988,Fenced Havens & Islands (Predator-Free),1.0
1988,Standard Open Landscapes (Unfenced/Standard Parks),1.3671
1989,Fenced Havens & Islands (Predator-Free),1.0
1989,Standard Open Landscapes (Unfenced/Standard Parks),1.1007
1990,Fenced Havens & Islands (Predator-Free),1.0
1990,Standard Open Landscapes (Unfenced/Standard Parks),1.1601
1991,Fenced Havens & Islands (Predator-Free),1.0
1991,Standard Open Landscapes (Unfenced/Standard Parks),1.3188
1992,Fenced Havens & Islands (Predator-Free),1.0
1992,Standard Open Landscapes (Unfenced/Standard Parks),1.1307
1993,Fenced Havens & Islands (Predator-Free),1.0
1993,Standard Open Landscapes (Unfenced/Standard Parks),1.3179
1994,Fenced Havens & Islands (Predator-Free),1.0
1994,Standard Open Landscapes (Unfenced/Standard Parks),1.3097
1995,Fenced Havens & Islands (Predator-Free),1.0
1995,Standard Open Landscapes (Unfenced/Standard Parks),1.479
1996,Fenced Havens & Islands (Predator-Free),1.0
1996,Standard Open Landscapes (Unfenced/Standard Parks),1.5467
1997,Fenced Havens & Islands (Predator-Free),1.0
1997,Standard Open Landscapes (Unfenced/Standard Parks),1.5794
1998,Fenced Havens & Islands (Predator-Free),1.0
1998,Standard Open Landscapes (Unfenced/Standard Parks),1.6152
1999,Fenced Havens & Islands (Predator-Free),1.0
1999,Standard Open Landscapes (Unfenced/Standard Parks),1.3628
2000,Fenced Havens & Islands (Predator-Free),1.0
2000,Standard Open Landscapes (Unfenced/Standard Parks),1.3702
2001,Fenced Havens & Islands (Predator-Free),0.8534
2001,Standard Open Landscapes (Unfenced/Standard Parks),1.4049
2002,Fenced Havens & Islands (Predator-Free),1.6726
2002,Standard Open Landscapes (Unfenced/Standard Parks),1.4958
2003,Fenced Havens & Islands (Predator-Free),1.5564
2003,Standard Open Landscapes (Unfenced/Standard Parks),1.2202
2004,Fenced Havens & Islands (Predator-Free),1.2266
2004,Standard Open Landscapes (Unfenced/Standard Parks),1.0186
2005,Fenced Havens & Islands (Predator-Free),2.0971
2005,Standard Open Landscapes (Unfenced/Standard Parks),0.8711
2006,Fenced Havens & Islands (Predator-Free),1.9583
2006,Standard Open Landscapes (Unfenced/Standard Parks),0.7448
2007,Fenced Havens & Islands (Predator-Free),1.6814
2007,Standard Open Landscapes (Unfenced/Standard Parks),0.7338
2008,Fenced Havens & Islands (Predator-Free),1.3169
2008,Standard Open Landscapes (Unfenced/Standard Parks),0.7355
2009,Fenced Havens & Islands (Predator-Free),0.9236
2009,Standard Open Landscapes (Unfenced/Standard Parks),0.7568
2010,Fenced Havens & Islands (Predator-Free),1.1098
2010,Standard Open Landscapes (Unfenced/Standard Parks),0.7034
2011,Fenced Havens & Islands (Predator-Free),1.3361
2011,Standard Open Landscapes (Unfenced/Standard Parks),0.8661
2012,Fenced Havens & Islands (Predator-Free),1.4006
2012,Standard Open Landscapes (Unfenced/Standard Parks),1.1073
2013,Fenced Havens & Islands (Predator-Free),1.2681
2013,Standard Open Landscapes (Unfenced/Standard Parks),1.0555
2014,Fenced Havens & Islands (Predator-Free),1.5082
2014,Standard Open Landscapes (Unfenced/Standard Parks),1.0033
2015,Fenced Havens & Islands (Predator-Free),1.2416
2015,Standard Open Landscapes (Unfenced/Standard Parks),1.0439
2016,Fenced Havens & Islands (Predator-Free),1.4511
2016,Standard Open Landscapes (Unfenced/Standard Parks),0.9552
2017,Fenced Havens & Islands (Predator-Free),1.7485
2017,Standard Open Landscapes (Unfenced/Standard Parks),0.9492
2018,Fenced Havens & Islands (Predator-Free),1.539
2018,Standard Open Landscapes (Unfenced/Standard Parks),0.9749
2019,Fenced Havens & Islands (Predator-Free),1.4497
2019,Standard Open Landscapes (Unfenced/Standard Parks),0.9284
2020,Fenced Havens & Islands (Predator-Free),1.0314
2020,Standard Open Landscapes (Unfenced/Standard Parks),0.9013
2021,Fenced Havens & Islands (Predator-Free),0.987
2021,Standard Open Landscapes (Unfenced/Standard Parks),0.8631
2022,Fenced Havens & Islands (Predator-Free),1.142
2022,Standard Open Landscapes (Unfenced/Standard Parks),0.7643
